Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
16,Buffalo Sabres,Nikita Zadorov,RU,D,18,2022,London (OHL),457,26,71,97,-1,464,,,,,,,19.9
17,St. Louis Blues,Marek Schwarz,CZ,G,18,2009,Sparta Praha (Czech),6,0,0,0,0,0,6,0,2,0,0.809,4.32,-0.3
17,Phoenix Coyotes,Martin Hanzal,CZ,C,18,2019,Ceske Budejovice (Czech-2),673,127,211,338,-43,574,,,,,,,29.2
17,Los Angeles Kings,Trevor Lewis,US,C,19,2022,Des Moines (USHL),783,79,106,185,-37,181,,,,,,,10.9
17,New York Rangers,Alexei Cherepanov,RU,RW,18,,Avangard Omsk ( ),,,,,,,,,,,,,
17,Anaheim Ducks,Jake Gardiner,US,D,18,2021,Minnetonka (High-MN),645,49,228,277,-16,226,,,,,,,43.7
17,St. Louis Blues,David Rundblad,SE,D,18,2016,Skelleftea (Sweden),113,4,21,25,-6,30,,,,,,,4
17,Colorado Avalanche,Joey Hishon,CA,C,18,2015,Owen Sound (OHL),13,1,1,2,-1,0,,,,,,,0.1
17,Montreal Canadiens,Nathan Beaulieu,CA,D,18,2022,Saint John (QMJHL),418,12,82,94,9,301,,,,,,,19.3
17,San Jose Sharks,Tomas Hertl,CZ,C,18,2022,Slavia (Czech),557,173,192,365,-6,176,,,,,,,40.5
17,Ottawa Senators,Curtis Lazar,CA,C/RW,18,2022,Edmonton (WHL),378,33,54,87,-23,84,,,,,,,4.3
18,Montreal Canadiens,Kyle Chipchura,CA,C,18,2016,Prince Albert (WHL),482,31,73,104,-45,376,,,,,,,4.3
18,Nashville Predators,Ryan Parent,CA,D,18,2011,Guelph (OHL),106,1,6,7,-18,36,,,,,,,0.9
18,Colorado Avalanche,Chris Stewart,CA,RW,18,2020,Kingston (OHL),668,160,162,322,-52,750,,,,,,,35.5
18,St. Louis Blues,Ian Cole,US,D,18,2022,U.S. National U-18 (USNTDP),645,29,130,159,124,601,,,,,,,37.6
